State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Idukki,"Munnar Market","Bitter gourd",Other,Medium,22/09/2026,6000,6000,6000
"Himachal Pradesh",Kangra,"SMY Baijnath","Bitter gourd","Bitter Gourd","Grade A",22/09/2026,2800,3500,3300
Haryana,Gurgaon,"Gurgaon APMC","Bottle gourd",Other,"Grade A",22/09/2026,800,1200,1000
Keralam,Idukki,"Munnar Market","Bottle gourd","Bottle Gourd",Medium,22/09/2026,4500,4500,4500
Haryana,Gurgaon,"Gurgaon APMC","Bhindi(Ladies Finger)",Other,"Grade A",22/09/2026,1500,2000,1750
Uttarakhand,Haridwar,"Roorkee APMC","Bhindi(Ladies Finger)",Other,Local,22/09/2026,1100,1600,1300
Telangana,Siddipet,"Vantamamidi APMC","Bhindi(Ladies Finger)",Bhindi,Local,22/09/2026,1500,2000,1750
Keralam,Idukki,"Munnar Market",Carrot,Other,Medium,22/09/2026,7500,7500,7500
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ",Cabbage,Other,Local,22/09/2026,1000,1400,1200
Punjab,Amritsar,"Rayya APMC",Cucumbar(Kheera),Cucumbar,FAQ,22/09/2026,884,884,884
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Ridgeguard(Tori),Ridgeguard(Tori),"Grade A",22/09/2026,2000,3000,2500
Keralam,Idukki,"Munnar Market","Duster Beans","Duster Beans",Medium,22/09/2026,8800,8800,8800
Keralam,Idukki,"Munnar Market",Drumstick,Drumstick,Medium,22/09/2026,6500,6500,6500
Keralam,Idukki,"Kattappana Market",Drumstick,Other,Medium,22/09/2026,4500,5400,4600
Punjab,Mohali,"Lalru APMC","Peas Wet",Other,Local,22/09/2026,9900,9900,9900
